,FEAT_A_probe,FEAT_Delta_t_angl[s],FEAT_Delta_t_anw[s],FEAT_F_angl[N],FEAT_F_anw[N],FEAT_T_Heiz[°C],FEAT_Thermocouple_0[°C],FEAT_WS0[µV],FEAT_WS_Int[µVs],FEAT_WS_angl[µV],FEAT_WS_anw[µV],FEAT_WS_delta_t_max[s],FEAT_WS_max[µV],FEAT_s0[mm],FEAT_s_angl[mm],FEAT_s_tot[mm],FEAT_t_angl[s],FEAT_t_anw[s],LABEL_weld_factor
15,396.9238,6.800001035444438,17.40000082645565,57.22599758488117,20.06520040044926,186,191.77587890625,486.0123291015625,72191.9639713408,1028.7607421875,694.7109375,0.800000037997961,3231.997314453125,24.25620460510254,16.48356819152832,16.58730125427246,20.20000095944852,147.8000070201233,1.0
16,406.548,6.600000968948006,17.20000081695617,57.63928207696653,20.08838343749175,186,191.4984893798828,479.0310668945312,69865.5374221714,1015.42626953125,699.5059204101562,0.800000037997961,2791.019287109375,23.81166076660156,16.41662788391113,16.48860549926758,20.40000096894801,148.0000070296228,1.0
17,406.2162,6.600000949949026,16.4000007789582,56.51407047346527,19.47675765970702,186,191.0960845947266,475.0785217285156,71139.16215553698,995.8524169921875,689.6665649414062,0.6000000284984708,2996.94384765625,22.41868591308594,16.53964233398438,16.6340446472168,20.40000096894801,148.8000070676208,1.0
18,407.164,6.200000987946988,17.40000082645565,56.26813350004308,19.55878570401991,186,191.6182708740234,478.4078674316406,70739.21025168474,1043.412353515625,697.5551147460938,0.800000037997961,2348.460205078125,23.5757884979248,16.23265647888184,16.31427001953125,20.40000096894801,148.0000070296228,1.0
19,407.6712,8.000000987946986,18.80000089295209,57.63984749906807,20.16634994256692,180,188.1510162353516,516.6001586914062,65995.00923531347,1040.08203125,684.7777099609375,0.800000037997961,3147.349853515625,23.10437202453613,16.34429168701172,16.46083831787109,18.60000088345259,146.4000069536269,1.0
20,404.838,7.000000987946986,18.00000085495413,57.5109397425796,19.53307117632966,180,185.7673645019531,456.1228637695312,67521.8982023349,969.7461547851562,647.3078002929688,0.800000037997961,3039.04541015625,23.12688255310059,16.28535652160645,16.40700721740723,19.80000094044954,147.4000070011243,1.0
21,405.162,7.000000579468906,16.60000078845769,56.82737495422364,19.58697460734187,180,184.9575653076172,439.1608276367188,69699.56954119618,947.661376953125,644.8172607421875,0.800000037997961,3004.346435546875,24.06520652770996,16.37041473388672,16.48774337768555,20.00000094994903,148.6000070581213,1.0
22,400.8033,6.600000978447497,17.40000082645565,56.8075004196167,19.53755907825269,180,185.4222717285156,452.3123474121094,67412.17500501662,958.5339965820312,657.7401123046875,0.6000000284984708,3089.279541015625,21.98507499694824,16.09665298461914,16.22640419006348,20.00000094994903,147.8000070201233,1.0
23,403.1282,6.600000978447497,17.60000083595514,57.64022611863543,19.52033053245648,180,185.5650177001953,447.60009765625,67873.58808853771,949.9432373046875,658.5003662109375,0.800000037997961,2767.677978515625,23.19143867492676,16.29818725585938,16.40639495849609,20.20000095944852,147.6000070106238,1.0
24,406.068,6.800000997446478,16.80000079795718,56.63284767150879,18.93393658434927,190,197.6782531738281,537.851318359375,71787.00689215331,1096.697509765625,734.1018676757812,0.800000037997961,2908.527587890625,22.27847480773926,16.13641166687012,16.20176315307617,20.00000094994903,148.4000070486218,1.0
